date,time,Annotated tweet,Class,Your class label
10/16/2012,10:02:47-05:00,"RT ""FUN FACT:  Mitt Romney  would become the first man to be elected President after telling half the country to fuck themselves. #debate""",-1,
10/16/2012,10:03:13-05:00," mitt romney  will  help create jobs. but he's gonna raise taxes on the middle class, lower student loans, cut healthcare, etc... ",2,
10/16/2012,09:27:26-05:00,"If people r stupid enough to vote 4  Romney  because they believe the bullshit he spews, then we are in trouble America, big trouble! #Debate",-1,
10/16/2012,10:17:28-05:00,He's a black republican that believes in  Mitt Romney  ! Does that make him a racist ?!?  http://t.co/OKqi0OQl,0,
10/16/2012,09:22:59-05:00,"z That would be the most shaded debate ever. 'Maybe  Mitt  should try his... mumbling, on a whole other frequency ...'",0,
10/16/2012,10:16:47-05:00,"The  Romney  endorsed ""Ryan plan"" would put  pressure on American seniors  in a way we have never seen before. The... http://t.co/yMVdSwOH",-1,
10/16/2012,09:20:17-05:00,I really have no idea who I'm goin to vote for # Romney  # Obama  #confused because I don't know shit about politics,2,
10/16/2012,09:56:00-05:00,"When # Romney  tells you that he doesn't control the Super PAC slush fund, he is  lying . Most of these PPL are MormonS http://t.co/8eqtm8Nm",-1,
10/16/2012,10:26:41-05:00," Mitt  stands for nothing but  making the rich richer  while putting all the stress,and dis advantage on the Working claas&amp;Poor simple.",-1,
10/16/2012,09:17:14-05:00,"I don't know , but thank God he is willing to take on the challenge and  get America back to greatness . Mitt Romney is America!!!",1,
10/16/2012,10:16:24-05:00,"If  Romney  become president we better start reading the Terms and Conditions ,because we might sign and agree to slavery.",-1,
10/16/2012,10:19:20-05:00,Reagan's Budget Director: ' Mitt Romney  Was  Not A Businessman ' http://t.co/VIneg7OU,-1,
10/16/2012,09:18:48-05:00,I have a hard time believing the poll numbers.  How can a  racist  like  Romney  be ahead?,-1,
10/16/2012,10:06:02-05:00,"#America - seriously: if you vote # Romney  in, you deserve everything that follows. But the rest of the world doesn't.",-1,
10/16/2012,09:03:44-05:00," Mitt Romney  fix this mess I know you can ,step on necessary toes, plug the holes , stop the bleeding You get the Pic. Just make it happen",1,
10/16/2012,09:57:39-05:00,TheWeek @poetmaggie I would ask Romney to  stop lying </D142a>and for once tell the truth. #debate,-1,
10/16/2012,09:53:32-05:00,"In that City, you will thank God you never had anything to do with Roman  Romney  and his One World Order. #JesusTweeters #tcot #tworship",-1,
10/16/2012,09:17:16-05:00,"If  Romney  become president we all gone have to start reading the ""Terms &amp; Conditions"". We might fuck around &amp;  be agreeing to slavery .",-1,
10/16/2012,10:10:45-05:00,": Pres  Obama  shouldn't let  Romney  get away with his ""moderate"" act in tonight's debate-@finneyk writes http://t.co/LpPJxE00 #fb",2,
10/16/2012,10:26:33-05:00,ina26 lmfao!! I'm trying!! It's just that they're talking about  Romney  now.,0,
10/16/2012,09:56:25-05:00,"“@truuuthug:  Mitt Romney  can suck my dick. &amp; if you a Republican,  Oh.”",-1,
10/16/2012,09:53:44-05:00," Mitt Romney  won't be elected because as much as life-long republican voters don't want to admit it, they don't trust or like him. Sorry Mitt",-1,
10/16/2012,10:00:02-05:00,"When # Romney  says ""We're going to take back America!"" which America ? South America? Central America? North America? #election2012",-1,
10/16/2012,10:24:27-05:00,For all those who have forgotten the Bush terms? Just remember  how terrible of a president he was=  Romney  again!,-1,
10/16/2012,10:01:41-05:00,dMorrissey @gabrielmalor That's also significant considering  Romney  still has $200 million in the bank with 3 weeks left.,0,
10/16/2012,10:08:50-05:00," Romney  is  not great debater . He beat a sleeping Obama. If  Obama  can stay awake tonight, he should win. #MSNBC #TheCycle",-1,
10/16/2012,10:02:59-05:00,"Why people who care about Vietnam vets should never, ever vote for  Mitt Romney  - http://t.co/dqOqXhui …",-1,
10/16/2012,09:36:54-05:00,"I was telling my dad and stepmom how dumb the people at FSCJ are, and my dad goes, ""oh, they must work for  Romney ."" lollll",-1,
10/16/2012,09:16:42-05:00,@marxdudek Romney will definitely try another 'trick tonight. Probably bring flowers for all the women questioners !,-1,
10/16/2012,10:09:39-05:00,I'm looking for a Yankees &amp;  Romney  win tonight.,1,
10/16/2012,09:52:11-05:00,""" Kill  Romney  "" plan? Seriously?!",-1,
10/16/2012,10:25:41-05:00,“@kwaneequa: Everybody in my office voting for  Romney  I should quit huh?”yea!,-1,
10/16/2012,09:40:09-05:00,"Maybe not, Romney's a real leader RT @daveweigel If  Romney  wins the presidency but Dems keep the Senate, Obamacare is safe until 2015. No?",-1,
10/16/2012,09:45:43-05:00,DON'T EVEN SHAKE  ROMNEY 'S HAND just say NAH DUDE NAH! And shake your head as if disgusted ROTFL @davidaxelrod http://t.co/m7mz3rU7,-1,
10/16/2012,09:09:13-05:00,"With a  Romney  in office,  we would be in 5 wars right now , iraq, afghanistan, lybia, benghazi &amp; iran, does that even make sense?!?",-1,
10/16/2012,09:03:53-05:00," Romney  has  a vision , and he's trying for something big: We've just been too slow to sort out what it is.",1,
10/16/2012,09:59:49-05:00,@SomeHighGirl: I am seriously absolutely terrified of Romney winning the election. Me to Romney = downfall,-1,
10/16/2012,10:26:09-05:00,I'm feeling sick to my stomach just pondering what WILL happen if  Romney  if elected just based off his supporters #backwards Rt @poegie59,-1,
10/16/2012,09:46:15-05:00,"Dont be fooled. If you are part of the middle class, u will pay more under a  Romney  presidency.  New taxes, fees, or deductions will affect u ",-1,
10/16/2012,10:14:29-05:00,So essentially  Romney 's trying to  buy the presidency .,-1,
10/16/2012,09:04:39-05:00,A clear explanation of how  Mitt Romney  can cut taxes without raising the deficit. http://t.co/JBSKOSgd,1,
10/16/2012,09:19:05-05:00, Mitt Romney  Campaign Busted Buying Hundreds of Thousands of Facebook LIKES and Twitter Followers http://t.co/ro2zgWX7 via @wordpressdotcom,-1,
10/16/2012,10:20:53-05:00, Mitt Romney 's $5 Footlong now served with a side of bullshit,-1,
10/16/2012,09:08:53-05:00,NY Times:  Romney  Knows 'If Roe v.  Wade Goes' Women Will Die ... http://t.co/rYpYTNwU via @gaycivilrights: NY Time... http://t.co/oPZubMKR,0,
10/16/2012,09:08:21-05:00,Fuck  Mitt Romney !,-1,
10/16/2012,09:47:37-05:00,I really really think  mitt Romney  is gonna win the election,1,
10/16/2012,10:25:17-05:00, Romney  is no Buster Douglas.,0,
10/16/2012,09:52:43-05:00,"They say figures will not  lie  ,but liers will figures.Sounds like  Romney  &amp; Rynn Programs, Yep 4+3=9 It just that simple",-1,
10/16/2012,10:27:04-05:00,Go Tigs and Go  Mitt !,1,
10/16/2012,10:10:50-05:00,I change my mind. I hope  Romney  wins.,1,
10/16/2012,09:46:32-05:00,"Bumper sticker said ""I have a pet and I voted for  Romney , do you have a pet?"" Hahaha #wtf # romney  #hilarious",0,
10/16/2012,10:16:59-05:00, Romney  said  Middle class shouldn't pay for the lower class to eat and live ,-1,
10/16/2012,09:32:19-05:00," Romney  is fucked up for wanting Sesame Street gone...they live in the hood, and one of em even lives in a trashcan...they living rough #ijs",-1,
10/16/2012,10:08:18-05:00,"""Romney  plan doesn't add up  - deserves second look"" headline laughable. Sign of the times.",-1,
10/16/2012,10:04:40-05:00,"Texas billionaire Ross Perot has endorsed  Mitt Romney  for president, saying the  future of the country is at risk .",1,
10/16/2012,10:11:16-05:00,"If  Romney  really wants to win the post-debate analysis, he should come out for better pay for focus groups.",0,
10/16/2012,10:06:27-05:00,yes!!!!!!!!!!!!!!!! but  romney  3  wroungs  (@YouTube http://t.co/rT1wUAcP),-1,
10/16/2012,09:53:50-05:00, Romney  is such a  racist   Easier as a Latino? Actually...  http://t.co/eAWTajoQ,-1,
10/16/2012,10:07:37-05:00,@brit_babyyy yea and I am MITT FUCKING ROMNEY,-1,
10/16/2012,09:28:28-05:00, Mitt Romney 's  new jobs math just doesn't add up . See why: http://t.co/omxqtUO7,-1,
10/16/2012,10:15:23-05:00,"LouiseJJohnson Calling  Romney  ""My China"" would be a nice little burn #cockney Obama ",2,
10/16/2012,10:16:02-05:00, Romney  secret plans 2  create 12m job is just not true  instead we ll loose more than 12m job with his 20% tax cut 4  wealthy,-1,
10/16/2012,09:25:51-05:00,Going to Hofstra to throw coins at  Mitt Romney ...he'll probably wonder what those strange little metal things are,-1,
10/16/2012,09:55:46-05:00,My guess is  Romney  tonight will pre-emptively call  Obama  a liar (like he did the last time) in order to cloud the truth during the debate,-1,
10/16/2012,09:11:51-05:00,DOC_Channel No.  I cringe when  Romney  speaks.  He is repugnant to me.   A criminal  in candidate's clothing.,-1,
10/16/2012,09:42:40-05:00, Romney  is an  idiot ,-1,
10/16/2012,09:43:12-05:00,Why  Mitt Romney 's  12 million jobs math is rejected  by the fact checkers: http://t.co/icJVyeqh,-1,
10/16/2012,10:14:23-05:00," Romney ,I thank you for your low paying life on the line in the Coal mines,and I will make sure you do not have healthcare",-1,
10/16/2012,10:07:37-05:00,Women who want to vote for  Romney  I don't understand,-1,
10/16/2012,09:13:32-05:00,No fuckin way  Mitt Romney  did that 😂😂😂😭,0,
10/16/2012,09:39:20-05:00,Surprise surprise.  Romney 's new tax plan for jobs does  not add up . # RomneyRyan 2012 #Fail  http://t.co/ZUPIXAIi,-1,
10/16/2012,09:43:37-05:00, Romney 's  Tax Plan Doesn't Add Up —But It Deserves a Second Look: http://t.co/Rq6Lw2Ws:  http://t.co/9UfmbeKc,-1,
10/16/2012,10:10:18-05:00,I cannot for the life of me figure out why any women are voting for # Romney . Is there something I am missing?,-1,
10/16/2012,10:12:11-05:00,What we've been waiting for:  Mitt Romney 's tax plan adds up to a tax hike for the middle class. Here's the math:  http://t.co/YfZx3dKS,-1,
10/16/2012,10:10:59-05:00,77 Really is! As if he is not a  criminal . I mean just the fact that statehood is supported by  Romney  smh,-1,
10/16/2012,10:28:51-05:00,"StacyOlson7 no thanks,  Romney  has my vote.",1,
10/16/2012,10:08:00-05:00," Romney  enjoys #abortion profits: Tax Returns Reveal Investments In Stem Cell Research, Plan B, Chinese Oil http://t.co/jXPrqRkW #prolife?",-1,
10/16/2012,09:18:35-05:00, Romney 's jobs numbers are cobbled together from various reports on existing policies and trends that have nothing to do w/Romney's plans!,-1,
10/16/2012,10:02:10-05:00," Mitt  will be fine, he has the truth on his side.",1,
10/16/2012,09:45:25-05:00,fcuk it im voting for  Mitt Romney .,1,
10/16/2012,10:29:59-05:00,Here's hoping that  Romney  shines tonight I hope he does well !,1,
10/16/2012,10:10:36-05:00,"When I say we live ""Upstate"", we're not currently incarcerated--however walled in we are by "" Romney/Ryan ""  signs .",1,
10/16/2012,09:02:02-05:00,RT @rawdawgbuffalo: If you want to play a #debate drinking game where you dont get drunk drink every time # romney  ... http://t.co/m4xx0xaS,0,
10/16/2012,10:24:53-05:00, Romney 's 12 million jobs pledge is based on completely  bogus math : http://t.co/oeYiF09i,-1,
10/16/2012,09:58:33-05:00,"Kick his ass tonight,  Mitt !",1,
10/16/2012,09:33:46-05:00,Confused about the  Romney  Tax Plan? Details here: http://t.co/vnXf6hSw #debate,0,
10/16/2012,09:54:31-05:00,# romney  He is this type of dick.  He published my personal aged pictures http://t.co/adyyxJeZ,0,
10/16/2012,09:24:55-05:00," Romney  can't even name 3 ramen noodle flavors, he don't know the struggle. #Fuc Romney ",-1,
10/16/2012,10:15:30-05:00,"I much prefer bombastic, furiously insulting, absurdly based papers like ""Why Krugman is but a little twerp"" or ""WANTED :  Romney 's brain""",-1,
10/16/2012,09:51:02-05:00, Romney  central jobs argument exposed as fraudulent http://t.co/kAhgVugI  via @maddow | #p2,-1,
